x,y,z,samples
9.144,-4.441,18.268,984552
-10.291,7.523,-22.848,986111
-10.27,7.55,-22.776,986112
-0.942,-0.253,10.188,988042
-1.049,-0.244,10.152,988043
10.837,0.458,7.789,988446
9.49,-11.422,-7.373,988514
-2.832,6.406,5.189,988515
-2.843,6.408,5.205,988516
-2.842,6.539,5.262,988517
-2.884,6.5,5.221,988518
-2.823,6.549,5.266,988519
-2.829,6.528,5.255,988520
-2.831,6.649,5.3,988521
-2.892,6.561,5.25,988522
9.19,0.963,-19.586,991797
9.19,0.994,-19.544,991798
9.186,0.956,-19.594,991799
9.19,0.997,-19.549,991800
9.183,0.909,-19.559,991801
9.188,0.977,-19.586,991802
9.187,0.967,-19.584,991803
9.192,1.003,-19.565,991804
9.183,0.914,-19.566,991805
-11.202,4.889,-21.771,992826
-6.818,7.445,5.24,994185
-6.792,7.437,5.258,994186
-6.834,7.438,5.246,994187
-6.832,7.435,5.251,994188
-9.087,3.946,13.104,994189
-9.093,3.934,13.122,994190
-17.164,5.719,-13.821,994191
-17.157,5.709,-13.81,994192
12.259,-1.833,-24.886,994535
12.424,-1.759,-24.983,994536
12.441,-1.798,-24.91,994539
12.373,-1.766,-24.979,994540
13.179,-1.768,-24.905,994541
13.366,-1.735,-24.93,994542
13.271,-1.752,-24.916,994543
13.473,-1.727,-24.912,994544
13.341,-1.74,-24.922,994545
13.199,-1.745,-24.961,994546
13.289,-1.76,-24.903,994547
13.035,-1.774,-24.906,994548
16.37,-7.143,-13.926,995525
10.244,-7.644,-4.433,995526
16.451,-7.096,-13.721,995527
10.667,-7.088,-5.085,995528
16.451,-7.097,-13.727,995531
16.451,-7.1,-13.734,995532
16.444,-7.088,-13.691,995533
13.296,-7.764,-19.164,995534
16.431,-7.108,-13.796,995535
16.451,-7.105,-13.753,995536
16.38,-7.131,-13.858,995537
16.45,-7.097,-13.722,995538
16.449,-7.092,-13.709,995539
16.449,-7.092,-13.708,995541
-0.871,5.001,11.376,997573
-0.885,4.951,11.376,997574
-0.879,4.963,11.376,997575
-0.889,4.937,11.379,997576
-16.543,17.792,2.248,998871
-15.585,17.73,1.67,998872
-15.706,17.736,1.717,998873
-15.654,17.736,1.697,998874
8.146,21.598,-11.742,1000562
8.12,21.549,-11.718,1000563
-7.353,2.856,6.804,1000564
0.61,4.618,8.164,1000565
14.244,-11.912,4.109,1000566
-15.745,4.671,19.312,1000567
-6.853,0.773,14.548,1000568
-12.257,11.246,10.56,1000569
-11.482,12.637,8.239,1000570
8.677,-10.403,-1.896,1000571
-12.27,11.35,10.426,1000572
-12.306,7.241,13.458,1000573
8.67,-10.391,-1.907,1000574
-1.333,-1.983,16.534,1002562
-1.377,-1.815,16.512,1002563
-0.541,-1.787,16.906,1002564
-0.506,-2.261,16.82,1002565
-0.655,-2.275,16.826,1002566
15.051,-0.916,-22.284,1004906
15.166,-0.932,-22.287,1004907
15.052,-0.938,-22.312,1004908
15.084,-0.947,-22.315,1004909
15.023,-0.923,-22.325,1004910
15.076,-0.927,-22.323,1004911
15.029,-0.953,-22.304,1004912
15.147,-0.934,-22.274,1004913
14.975,-0.881,-22.225,1004977
15.158,-0.914,-22.26,1004978
14.764,-0.941,-22.292,1004979
15.026,-0.915,-22.253,1004980
15.007,-0.918,-22.282,1004981
15.143,-0.92,-22.286,1004982
14.506,-0.901,-22.276,1004983
15.113,-0.89,-22.22,1004984
-27.911,-2.133,-9.672,1005030
